"","Date","Price","bing_score","nrc_score.x","Afinn_score.x","Price2"
"499",2014-07-04,4.37354352296093,-3,-2,-2,36.616469205914
"500",2014-07-08,4.19122686771762,2,2,3,35.5486145109175
"501",2014-07-10,3.99246058944483,1,2,2,34.3844120238911
"502",2014-07-11,3.93351610692255,-4,-3,-4,34.0391657691178
"503",2014-07-14,3.79095270733379,-3,-2,-5,33.2041515715265
"504",2014-07-15,3.79095270733379,-1,0,4,33.2041515715265
"505",2014-07-16,3.88416723783413,3,3,9,33.7501223930285
"506",2014-07-17,3.97052775873886,3,4,10,34.2559483011848
"507",2014-07-18,3.96915695681974,5,2,14,34.2479193185156
"508",2014-07-21,3.92529129540781,4,3,9,33.9909918731029
"509",2014-07-22,4.03084304318026,6,5,16,34.6092235386272
"510",2014-07-24,3.93488690884167,0,0,-2,34.0471947517869
"511",2014-07-25,4.08704592186429,1,6,6,34.9384118280623
"512",2014-07-28,4.06100068540096,-5,-5,-12,34.7858611573485
"513",2014-07-30,4.02947224126114,0,-1,-3,34.6011945559581
"514",2014-07-31,3.81973954763537,2,2,7,33.3727602075786
"515",2014-08-01,3.61549006168609,-7,-6,-13,32.1764417898756
"516",2014-08-04,3.64016449623029,-4,-2,-12,32.3209634779203
"517",2014-08-05,3.52912954078136,0,0,0,31.6706158817194
"518",2014-08-08,3.60315284441398,-3,-2,-8,32.1041809458533
"519",2014-08-12,3.37285812200137,2,3,7,30.7553118574366
"520",2014-08-20,3.13159698423578,1,3,5,29.3422109076667
"521",2014-08-25,3.20973269362577,0,-1,2,29.7998629198081
"522",2014-08-26,3.2111034955449,2,1,10,29.8078919024772
"523",2014-08-27,3.19739547635367,2,3,10,29.7276020757858
"524",2014-08-28,3.23989033584647,0,1,2,29.9765005385293
"525",2014-08-31,3.23989033584647,2,4,6,29.9765005385293
"526",2014-09-02,3.17135023989034,0,1,0,29.575051405072
"527",2014-09-04,3.3084304318026,1,0,9,30.3779496719867
"528",2014-09-09,2.8793694311172,-1,-2,3,27.8648780965436
"529",2014-09-10,2.62988348183688,3,2,3,26.4036032507588
"530",2014-09-16,2.78478409869774,1,2,0,27.3108782923725
"531",2014-09-17,2.82727895819054,-1,2,2,27.559776755116
"532",2014-09-19,2.69705277587389,3,2,9,26.7970234015471
"533",2014-09-21,2.69705277587389,0,0,-3,26.7970234015471
"534",2014-09-22,2.50788211103496,-2,-3,-7,25.6890237932047
"535",2014-09-23,2.43934201507882,3,2,5,25.2875746597474
"536",2014-09-26,2.4681288553804,3,3,0,25.4561832957995
"537",2014-10-01,2.39821795750514,3,7,10,25.046705179673
"538",2014-10-07,1.89513365318712,1,1,0,22.100068540096
"539",2014-10-08,1.80603152844414,0,-2,0,21.5781846666014
"540",2014-10-09,1.83618917066484,0,-1,0,21.7548222853226
"541",2014-10-11,1.83618917066484,-1,-1,-1,21.7548222853226
"542",2014-10-13,1.47292666209733,1,2,6,19.6271418779986
"543",2014-10-14,1.27278958190541,0,-1,1,18.4549104083031
"544",2014-10-15,0.952021932830706,1,2,4,16.5761284637227
"545",2014-10-17,1.12337217272104,0,1,2,17.5797512973661
"546",2014-10-20,1.00685400959562,3,3,12,16.8972877704886
"547",2014-10-21,1.10966415352982,2,2,8,17.4994614706746
"548",2014-10-22,1.27553118574366,5,3,14,18.4709683736414
"549",2014-10-24,1.223440712817,0,-1,-1,18.1658670322138
"550",2014-10-27,1.17409184372858,3,2,4,17.8768236561246
"551",2014-10-28,1.16449623029472,-3,0,-5,17.8206207774405
"552",2014-10-29,1.34818368745716,2,1,4,18.8965044551062
"553",2014-10-30,1.15490061686086,0,-1,4,17.7644178987565
"554",2014-10-31,0.972583961617548,2,1,7,16.6965632037599
"555",2014-11-02,0.972583961617548,4,6,9,16.6965632037599
"556",2014-11-03,1.0726525017135,2,1,3,17.2826789386077
"557",2014-11-06,0.686086360520905,0,1,0,15.0185058259082
"558",2014-11-08,0.686086360520905,-2,0,-4,15.0185058259082
"559",2014-11-09,0.686086360520905,1,1,1,15.0185058259082
"560",2014-11-11,0.529814941740918,2,2,8,14.1032018016254
"561",2014-11-12,0.45853324194654,1,5,6,13.6856947028297
"562",2014-11-13,0.0911583276216579,3,3,3,11.5339273474983
"563",2014-11-14,0.0596298834818381,0,2,0,11.3492607461079
"564",2014-11-17,-0.0294722412611375,-1,-1,-2,10.8273768726133
"565",2014-11-18,0.0212474297464018,-4,-1,-4,11.1244492313718
"566",2014-11-19,0.0185058259081563,0,1,0,11.1083912660335
"567",2014-11-20,0.0733379026730638,2,1,4,11.4295505727994
"568",2014-11-24,0.348869088416725,-1,2,-2,13.043376089298
"569",2014-11-25,0.0747087045921875,3,2,3,11.4375795554685
"570",2014-11-26,0.043180260452365,0,0,3,11.2529129540781
"571",2014-12-01,-0.850582590815626,-3,-1,-5,6.01801625379419
"572",2014-12-04,-1.17820424948595,1,1,0,4.09908939586801
"573",2014-12-08,-1.56751199451679,0,1,1,1.81885831783022
"574",2014-12-10,-1.88553803975325,0,1,0,-0.0438656614119211
"575",2014-12-11,-1.84030157642221,-2,-2,-5,0.221090766669938
"576",2014-12-15,-2.19122686771761,0,1,0,-1.83432879663173
"577",2014-12-19,-2.49554489376285,0,0,2,-3.61676294918241
"578",2014-12-30,-2.94379712131597,0,-3,-2,-6.24224028199353
"579",2015-01-05,-3.56339958875942,2,3,4,-9.87134044844805
"580",2015-01-06,-3.6949965729952,1,4,4,-10.6421227846862
"581",2015-01-08,-3.78958190541467,2,2,1,-11.1961225888573
"582",2015-01-09,-4.03495544893763,1,0,0,-12.6333104866347
"583",2015-01-12,-4.13639479095271,0,0,-1,-13.2274552041516
"584",2015-01-14,-4.28444139821796,0,2,0,-14.0945853324195
"585",2015-01-16,-4.07059629883482,1,2,0,-12.8420640360325
"586",2015-01-19,-4.07059629883482,0,1,0,-12.8420640360325
"587",2015-01-20,-4.19259766963674,2,3,6,-13.5566434935866
"588",2015-01-21,-4.19122686771761,-4,-1,-8,-13.5486145109175
"589",2015-01-23,-4.16518163125428,-1,-1,-2,-13.3960638402037
"590",2015-01-26,-4.25017135023989,3,1,2,-13.8938607656908
"591",2015-01-28,-4.11309115832762,4,3,7,-13.0909624987761
"592",2015-01-29,-4.17614804660727,-2,2,-2,-13.4602957015568
"593",2015-02-01,-4.17614804660727,1,1,6,-13.4602957015568
"594",2015-02-03,-3.10692254969157,-1,1,-7,-7.19768921962205
"595",2015-02-04,-3.01644962302947,4,1,6,-6.66777636345833
"596",2015-02-09,-2.75188485263879,2,2,0,-5.11818270831293
"597",2015-02-10,-2.91775188485264,3,3,3,-6.08968961127974
"598",2015-02-13,-2.29540781357094,0,1,3,-2.44453147948693
"599",2015-02-15,-2.29540781357094,-1,-1,0,-2.44453147948693
"600",2015-02-18,-2.24194653872515,2,2,2,-2.13140115539019
"601",2015-02-19,-2.50788211103495,-2,-2,-2,-3.68902379320474
"602",2015-02-20,-2.20493488690884,3,4,8,-1.91461862332321
